"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ContraIndicacoesPDH","ClinicalUseDefinition.type","ClinicalUseDefinition.type","","","",1,1,"","","Y","code {[]} {[]}
","indication | contraindication | interaction | undesirable-effect | warning","indication | contraindication | interaction | undesirable-effect | warning.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""contraindication""/>","","","",,"required","Overall defining type of this clinical use definition.","http://hl7.org/fhir/ValueSet/clinical-use-definition-type|5.0.0","",,,,"ClinicalUseDefinition.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.category","ClinicalUseDefinition.category","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","A categorisation of the issue, primarily for dividing warnings into subject heading areas such as ""Pregnancy"", ""Overdose""","A categorisation of the issue, primarily for dividing warnings into subject heading areas such as ""Pregnancy and Lactation"", ""Overdose"", ""Effects on Ability to Drive and Use Machines"".","","","","","","","","","",,"preferred","A categorisation for a clinical use information item.","http://hl7.org/fhir/ValueSet/clinical-use-definition-category|5.0.0","",,,,"ClinicalUseDefinition.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.subject","ClinicalUseDefinition.subject","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicinalProductDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ActivityDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/PlanDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Substance|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionProduct|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/BiologicallyDerivedProduct|5.0.0]]}
","The medication, product, substance, device, procedure etc. for which this is an indication","The medication, product, substance, device, procedure etc. for which this is an indication.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.subject",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.status","ClinicalUseDefinition.status","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Whether this is a current issue or one that has been retired etc","Whether this is a current issue or one that has been retired etc.","","","","","","","","","",,"preferred","The lifecycle status of an artifact.","http://hl7.org/fhir/ValueSet/publication-status|5.0.0","",,,,"ClinicalUseDefinition.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication","ClinicalUseDefinition.contraindication","","","",1,1,"","","Y","BackboneElement {[]} {[]}
","Specifics for when this is a contraindication","Specifics for when this is a contraindication.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.contraindication",0,1,"cud-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.id","ClinicalUseDefinition.contraindication.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.extension","ClinicalUseDefinition.contraindication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.modifierExtension","ClinicalUseDefinition.contraindication.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.diseaseSymptomProcedure","ClinicalUseDefinition.contraindication.diseaseSymptomProcedure","","","",0,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
","The situation that is being documented as contraindicating against this item","The situation that is being documented as contraindicating against this item.","","","","","","","","","",,"example","A symptom, disease or procedure.","http://hl7.org/fhir/ValueSet/disease-symptom-procedure|5.0.0","",,,,"ClinicalUseDefinition.contraindication.diseaseSymptomProcedure",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.diseaseStatus","ClinicalUseDefinition.contraindication.diseaseStatus","","","",0,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
","The status of the disease or symptom for the contraindication","The status of the disease or symptom for the contraindication, for example ""chronic"" or ""metastatic"".","","","","","","","","","",,"example","The status of a disease or symptom.","http://hl7.org/fhir/ValueSet/disease-status|5.0.0","",,,,"ClinicalUseDefinition.contraindication.diseaseStatus",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.comorbidity","ClinicalUseDefinition.contraindication.comorbidity","","","",0,*,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
","A comorbidity (concurrent condition) or coinfection","A comorbidity (concurrent condition) or coinfection.","","","","","","","","","",,"example","A symptom, disease or procedure.","http://hl7.org/fhir/ValueSet/disease-symptom-procedure|5.0.0","",,,,"ClinicalUseDefinition.contraindication.comorbidity",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.indication","ClinicalUseDefinition.contraindication.indication","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ClinicalUseDefinition|5.0.0]]}
","The indication which this is a contraidication for","The indication which this is a contraidication for.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.contraindication.indication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.applicability","ClinicalUseDefinition.contraindication.applicability","","","",0,1,"","","","Expression {[]} {[]}
","An expression that returns true or false, indicating whether the indication is applicable or not, after having applied its other elements","An expression that returns true or false, indicating whether the indication is applicable or not, after having applied its other elements.","The expression may be inlined or may be a reference to a named expression within a logic library referenced by the library element.","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.contraindication.applicability",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.otherTherapy","ClinicalUseDefinition.contraindication.otherTherapy","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Information about use of the product in relation to other therapies described as part of the contraindication","Information about the use of the medicinal product in relation to other therapies described as part of the contraindication.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.contraindication.otherTherapy",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.otherTherapy.id","ClinicalUseDefinition.contraindication.otherTherapy.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.otherTherapy.extension","ClinicalUseDefinition.contraindication.otherTherapy.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.otherTherapy.modifierExtension","ClinicalUseDefinition.contraindication.otherTherapy.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.otherTherapy.relationshipType","ClinicalUseDefinition.contraindication.otherTherapy.relationshipType","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","The type of relationship between the product indication/contraindication and another therapy","The type of relationship between the medicinal product indication or contraindication and another therapy.","","","","","","","","","",,"preferred","Classification of relationship between a therapy and a contraindication or an indication.","http://hl7.org/fhir/ValueSet/therapy-relationship-type|5.0.0","",,,,"ClinicalUseDefinition.contraindication.otherTherapy.relationshipType",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.contraindication.otherTherapy.treatment","ClinicalUseDefinition.contraindication.otherTherapy.treatment","","","",1,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicinalProductDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Substance|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionProduct|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/BiologicallyDerivedProduct|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ActivityDefinition|5.0.0]]}
","Reference to a specific medication, substance etc. as part of an indication or contraindication","Reference to a specific medication (active substance, medicinal product or class of products, biological, food etc.) as part of an indication or contraindication.","","","","","","","","","",,"example","A therapy.","http://hl7.org/fhir/ValueSet/therapy|5.0.0","",,,,"ClinicalUseDefinition.contraindication.otherTherapy.treatment",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.indication","ClinicalUseDefinition.indication","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","Specifics for when this is an indication","Specifics for when this is an indication.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.indication",0,1,"cud-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.indication.id","ClinicalUseDefinition.indication.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"ContraIndicacoesPDH","ClinicalUseDefinition.indication.extension","ClinicalUseDefinition.indication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ContraIndicacoesPDH","ClinicalUseDefinition.indication.modifierExtension","ClinicalUseDefinition.indication.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ContraIndicacoesPDH","ClinicalUseDefinition.indication.diseaseSymptomProcedure","ClinicalUseDefinition.indication.diseaseSymptomProcedure","","","",0,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
","The situation that is being documented as an indicaton for this item","The situation that is being documented as an indicaton for this item.","","","","","","","","","",,"example","A symptom, disease or procedure.","http://hl7.org/fhir/ValueSet/disease-symptom-procedure|5.0.0","",,,,"ClinicalUseDefinition.indication.diseaseSymptomProcedure",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.indication.diseaseStatus","ClinicalUseDefinition.indication.diseaseStatus","","","",0,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
","The status of the disease or symptom for the indication","The status of the disease or symptom for the indication, for example ""chronic"" or ""metastatic"".","","","","","","","","","",,"example","The status of a disease or symptom.","http://hl7.org/fhir/ValueSet/disease-status|5.0.0","",,,,"ClinicalUseDefinition.indication.diseaseStatus",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.indication.comorbidity","ClinicalUseDefinition.indication.comorbidity","","","",0,*,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
","A comorbidity or coinfection as part of the indication","A comorbidity (concurrent condition) or coinfection as part of the indication.","","","","","","","","","",,"example","A symptom, disease or procedure.","http://hl7.org/fhir/ValueSet/disease-symptom-procedure|5.0.0","",,,,"ClinicalUseDefinition.indication.comorbidity",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.indication.intendedEffect","ClinicalUseDefinition.indication.intendedEffect","","","",0,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
","The intended effect, aim or strategy to be achieved","The intended effect, aim or strategy to be achieved.","","","","","","","","","",,"preferred","The overall intended use of a product.","http://hl7.org/fhir/ValueSet/product-intended-use|5.0.0","",,,,"ClinicalUseDefinition.indication.intendedEffect",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ContraIndicacoesPDH","ClinicalUseDefinition.indication.duration[x]","ClinicalUseDefinition.indication.duration[x]","","","",0,1,"","","Y","Range {[]} {[]}
string {[]} {[]}","Timing or duration information","Timing or duration information, that may be associated with use with the indicated condition e.g. Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months).","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.indication.duration[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
